https://www.make.com/en/help/tools/http.html,Tools/ HTTP 
https://www.make.com/en/help/tools/xml.html,Tools/ XML
https://www.make.com/en/help/tools/data-store.html,Tools/ Data store
https://www.make.com/en/help/tools/data-structures.html,Tools/ Data structures
https://www.make.com/en/help/tools/json.html,Tools/ JSON
https://www.make.com/en/help/tools/image.html,Tools/ Image
https://www.make.com/en/help/tools/email.html,Tools/ Email
https://www.make.com/en/help/tools/flow-control.html,Tools/ Flow control
https://www.make.com/en/help/tools/text-parser.html,Tools/ Text Parser
https://www.make.com/en/help/tools/webhooks.html,Tools/ Webhooks 
https://www.make.com/en/help/tools/tools.html,Tools/ Tools
https://www.make.com/en/help/functions/using-functions.html,Functions/ Using functions
https://www.make.com/en/help/functions/general-functions.html,Functions/ General functions
https://www.make.com/en/help/functions/string-functions.html,Functions/ String functions
https://www.make.com/en/help/functions/array-functions.html,Functions/ Array functions
https://www.make.com/en/help/functions/date---time-functions.html,Functions/ Date & time functions
https://www.make.com/en/help/functions/math-functions.html,Functions/ Math functions
https://www.make.com/en/help/functions/custom-functions.html,Functions/ Custom functions
https://www.make.com/en/help/functions/certificates-and-keys.html,Functions/ Certificates and keys
https://www.make.com/en/help/functions/tokens-for-date-time-parsing.html,Functions/ Tokens for date|time parsing
https://www.make.com/en/help/functions/tokens-for-date-time-formatting.html,Functions/ Tokens for date|time formatting
https://www.make.com/en/help/functions/variables.html,Functions/ Variables
https://www.make.com/en/help/functions/math-variables.html,Functions/ Math variables
https://www.make.com/en/help/errors/introduction-to-error-handling.html,Errors/Introduction to Error Handling
https://www.make.com/en/help/errors/retry.html,Errors/ Retry
https://www.make.com/en/help/errors/throw.html,Errors/ Throw
https://www.make.com/en/help/errors/error-processing.html,Errors/ Error processing
https://www.make.com/en/help/errors/advanced-error-handling.html,Errors/ Advanced error handling
https://www.make.com/en/help/errors/directives-for-error-handling.html,Errors/ Directives for error handling
https://www.make.com/en/help/devices.html#adding-the-device-using-a-qr-code,Devices/Adding the Device Using a QR Code
https://www.make.com/en/help/apps/built-in-apps.html,Apps/ Built-in apps
https://www.make.com/en/help/apps/business-intelligence.html,Apps/ Business Intelligence
https://www.make.com/en/help/apps/business-operations-and-erps.html,Apps/ Business Operations and ERPs
https://www.make.com/en/help/apps/commerce.html,Apps/ Commerce
https://www.make.com/en/help/apps/communication.html,Apps/ Communication
https://www.make.com/en/help/apps/crm-and-sales-tools.html,Apps/ CRM and Sales tools
https://www.make.com/en/help/apps/customer-support.html,Apps/ Customer Support
https://www.make.com/en/help/apps/database.html,Apps/ Database
https://www.make.com/en/help/apps/education.html,Apps/ Education
https://www.make.com/en/help/apps/file-and-document-management.html,Apps/ File and Document Management
https://www.make.com/en/help/apps/hr-management.html,Apps/ HR management
https://www.make.com/en/help/apps/internet-of-things.html,Apps/ Internet of Things
https://www.make.com/en/help/apps/it-and-development.html,Apps/ IT and Development
https://www.make.com/en/help/apps/language-tools.html,Apps/ Language Tools
https://www.make.com/en/help/apps/lifestyle.html,Apps/ Lifestyle
https://www.make.com/en/help/apps/marketing.html,Apps/ Marketing
https://www.make.com/en/help/apps/productivity.html,Apps/ Productivity
https://www.make.com/en/help/apps/process-management.html,Apps/ Process Management
https://www.make.com/en/help/apps/surveys-and-forms.html,Apps/ Surveys and Forms
https://www.make.com/en/help/apps/travel.html,Apps/ Travel
https://www.make.com/en/help/apps/website-building.html,Apps/ Website Building
https://www.make.com/en/help/tutorials/using-airtable-with-make.html,Tutorials/ Using Airtable with Make
https://www.make.com/en/help/tutorials/using-google-sheets-with-make.html,Tutorials/ Using Google Sheets with Make
https://www.make.com/en/help/tutorials/using-notion-with-make.html,Tutorials/ Using Notion with Make
https://www.make.com/en/help/tutorials/using-telegram-bot-with-make.html,Tutorials/ Using Telegram Bot with Make
https://www.make.com/en/help/tutorials/automate-invoicing-with-invoice-ninja.html,Tutorials/Automate invoicing with invoice ninja
https://www.make.com/en/help/tutorials/how-to-fully-reset-your-google-connections.html,Tutorials/How to fully reset your Google connections
https://www.make.com/en/help/tutorials/how-to-connect-airtable-and-google-contacts-and-synchronize-contacts-between-these-services.html,Tutorials/ How to connect Airtable and Google contacts and synchronize contacts between these services
https://www.make.com/en/help/tutorials/how-to-iterate-columns-of-a-google-sheet-worksheet.html,Tutorials/How to iterate columns of a Google Sheet worksheet
https://www.make.com/en/help/tutorials/calling-microsoft-graph-rest-api-via-the--http-make-a-oauth-2-0-request--module.html,"Tutorials/Calling Microsoft Graph REST API via the ""HTTP Make a OAuth 2.0 request"" module"
https://www.make.com/en/help/tutorials/use-json-generator-to-create-a-json-data-structure-and-make-an-http-request-using-an-api-key--sendgrid-example-.html,Tutorials/ Use JSON Generator to create a JSON Data Structure and make an HTTP request using an API Key (SendGrid example)
https://www.make.com/en/help/tutorials/extract-an-item-and-or-its-value-from-an-array-of-collections.html,Tutorials/Extract an item and|or its value from an array of collections
"https://www.make.com/en/help/tutorials/how-to-connect-email,-text-parser-and-google-sheets.html","Tutorials/ How to connect Email, Text Parser and Google Sheets"
https://www.make.com/en/help/tutorials/calling-google-apis-via-the--http-make-a-oauth-2-0-request--module.html,"Tutorials/Calling Google APIs via the ""HTTP Make a OAuth 2.0 request"" module"
https://www.make.com/en/help/tutorials/create-a-data-thing-or-a-bulk-of-data-things-on-bubble.html,Tutorials/ Create a Data Thing or a Bulk of Data Things on Bubble
"https://www.make.com/en/help/tutorials/how-to-capture-email-and-phone-via-webhooks--on-chatfuel-,-validate-them-using-regex-and-store-them-in-a-data-store.html","Tutorials/ How to capture Email and Phone via Webhooks, validate them using Regex and store them in a Data Store"
https://www.make.com/en/help/tutorials/example-of-a-default-route-configured-for-a-router.html,Tutorials/Example of a Default route configured for a router
https://www.make.com/en/help/tutorials/mobile-app.html,Tutorials/ Mobile app
https://www.make.com/en/help/tutorials/how-to-connect-chatfuel-to-airtable.html,Tutorials/ How to connect Chatfuel to Airtable
https://www.make.com/en/help/tutorials/get-a-tweet-on-twitter-when-a-new-tweet-is-created-in-a-row-in-a-google-sheets-spreadsheet.html,Tutorials/ Get a tweet on Twitter when a new tweet is created in a row in a Google Sheets spreadsheet
https://www.make.com/en/help/tutorials/how-to-connect-make-to-any-web-service-that-uses-oauth2-authorization.html,Tutorials/ How to connect Make to any web service that uses OAuth2 authorization
https://www.make.com/en/help/tutorials/how-to-send-a-message-to-a-discord-channel-via-http-when-a-google-sheet-is-updated.html,Tutorials/How to send a message to a Discord channel via HTTP when a Google Sheet is updated
https://www.make.com/en/help/tutorials/update-google-sheet-row-with-twitterid-and-date-after-posting-it-on-twitter.html,Tutorials/ Update Google Sheet row with TwitterID and Date after posting it on Twitter
https://www.make.com/en/help/tutorials/send-data-to-make-as-json-via-an-action-in-a-bubble-workflow-using-the-api-connector-plugin.html,Tutorials/Send data to Make as JSON via an action in a Bubble workflow using the API Connector plugin
https://www.make.com/en/help/tutorials/typeform-make-data-stores.html,Tutorials/ Typeform Make Data Stores
https://www.make.com/en/help/tutorials/how-to-prevent-google-sheets-from-changing-numbers-into-dates.html,Tutorials/How to prevent Google Sheets from changing numbers into dates
